Year,Cpv,CountryFrom,CountryTo,EuroTotal
2009,71311000,CY,GR,200000
2009,71320000,CY,GR,494815
2009,72246000,CY,GR,258100
2009,72260000,CY,GR,105066
2009,72314000,CY,GR,272000
2009,77231000,CY,GR,279800
2009,79341000,CY,GR,15465844.58
2009,79410000,CY,GR,720300
2009,90713000,CY,GR,68150
2009,73111000,CY,HU,189542
2009,31340000,CY,IT,4429612
2009,34711500,CY,IT,31588232
2009,44423740,CY,IT,314700
2009,33100000,CY,PL,-261240
2009,33185200,CY,PL,-15179362.00
2009,14622000,CY,RO,1006254.5
2009,31321000,CY,RO,15401654
2009,38550000,CY,SI,1849000
2009,31211000,CY,UK,3201650
2009,31211310,CY,UK,1586611.2
2009,31681000,CY,UK,902016.06
2009,38554000,CY,UK,440500
2009,45235000,CY,UK,-2235128
2009,72224000,CY,UK,1342482.1
2009,76111000,CY,UK,1591174
2009,09331200,CZ,DE,2230470
2009,18512100,CZ,DE,2654639
2009,30141000,CZ,DE,209091.32
2009,31640000,CZ,DE,285021
2009,34143000,CZ,DE,250000
